iter	Logloss
0	0.6492679397
1	0.6156717684
2	0.5878106133
3	0.5664342117
4	0.5505280627
5	0.5379268889
6	0.5267452073
7	0.5178188031
8	0.5108312158
9	0.5051047688
10	0.4997788867
11	0.4957965385
12	0.4921151396
13	0.4889290793
14	0.4861210074
15	0.483949371
16	0.4818024539
17	0.4799861375
18	0.4782110809
19	0.4765468806
20	0.4750180436
21	0.4737193132
22	0.4724444327
23	0.4715350069
24	0.4705096523
25	0.4696422805
26	0.4686563343
27	0.4678096824
28	0.4669710743
29	0.4661641275
30	0.4655633068
31	0.4648038436
32	0.4641953498
33	0.4634525276
34	0.4627279253
35	0.4622232455
36	0.4617809034
37	0.4612458113
38	0.4606675263
39	0.460144883
40	0.4596951535
41	0.4593364347
42	0.4587597116
43	0.4583457095
44	0.4580538236
45	0.4577389202
46	0.4572960579
47	0.4568093596
48	0.4564537426
49	0.4560866128
50	0.4558180128
51	0.4555176866
52	0.4551932602
53	0.4548623416
54	0.4546092438
55	0.4543124539
56	0.4540124898
57	0.4538013957
58	0.4535840206
59	0.4533471916
60	0.4530809867
61	0.4529155645
62	0.4525925059
63	0.4522352975
64	0.4519657443
65	0.4516988794
66	0.4514819725
67	0.451274354
68	0.4511406285
69	0.4509527346
70	0.4507935399
71	0.4505347451
72	0.4503861392
73	0.4502493681
74	0.4501196048
75	0.4499565177
76	0.4497816548
77	0.4495850632
78	0.4493576258
79	0.4492183206
80	0.4490307447
81	0.4489075617
82	0.4487518313
83	0.4486000238
84	0.448483467
85	0.448338159
86	0.4481973698
87	0.4480438854
88	0.4479114876
89	0.4477827552
90	0.4476521601
91	0.4474803387
92	0.4473159999
93	0.4472106532
94	0.4470838023
95	0.4469645989
96	0.4467923002
97	0.4466628614
98	0.4465107699
99	0.4464029856
100	0.446332486
101	0.4462484726
102	0.4461632681
103	0.446054671
104	0.4459437997
105	0.4457951326
106	0.4456805342
107	0.4456097498
108	0.4454697698
109	0.445340691
110	0.4452154437
111	0.4450890892
112	0.4450069536
113	0.4448909544
114	0.4448046881
115	0.4446964193
116	0.4445742992
117	0.4444976824
118	0.4444226159
119	0.4443227004
120	0.444232499
121	0.4441009116
122	0.4440049026
123	0.44391232
124	0.4438124226
