iter	Passed	Remaining
0	73	73056
1	83	41421
2	94	31417
3	104	26015
4	113	22585
5	122	20295
6	131	18666
7	140	17459
8	149	16485
9	158	15703
10	167	15043
11	176	14545
12	186	14148
13	196	13814
14	213	13988
15	223	13759
16	241	13955
17	249	13627
18	258	13336
19	267	13083
20	276	12868
21	285	12693
22	294	12500
23	303	12325
24	314	12274
25	323	12116
26	331	11962
27	341	11848
28	350	11743
29	359	11628
30	369	11558
31	379	11477
32	389	11415
33	398	11316
34	406	11211
35	416	11150
36	425	11066
37	433	10972
38	442	10894
39	449	10786
40	459	10741
41	467	10663
42	477	10618
43	486	10574
44	496	10532
45	506	10494
46	515	10451
47	524	10411
48	534	10364
49	543	10321
50	553	10291
51	562	10254
52	573	10243
53	582	10212
54	591	10168
55	601	10134
56	611	10111
57	620	10084
58	633	10099
59	643	10085
60	653	10062
61	663	10045
62	673	10022
63	683	9997
64	692	9962
65	701	9930
66	711	9914
67	722	9905
68	732	9887
69	741	9856
70	751	9834
71	760	9797
72	769	9767
73	778	9739
74	787	9709
75	796	9687
76	806	9667
77	816	9651
78	825	9627
79	834	9600
80	844	9577
81	853	9554
82	864	9554
83	882	9622
84	897	9660
85	912	9696
86	922	9679
87	932	9667
88	943	9653
89	953	9636
90	962	9614
91	971	9585
92	980	9560
93	989	9533
94	999	9519
95	1008	9498
96	1017	9475
97	1027	9455
98	1036	9435
99	1045	9407
100	1055	9393
101	1064	9375
102	1073	9348
103	1083	9334
104	1093	9317
105	1102	9298
106	1111	9275
107	1122	9271
108	1132	9260
109	1142	9245
110	1151	9222
111	1161	9206
112	1170	9187
113	1180	9171
114	1189	9155
115	1199	9138
116	1208	9119
117	1218	9110
118	1227	9086
119	1236	9066
120	1246	9052
121	1255	9034
122	1266	9033
123	1275	9012
124	1286	9003
125	1295	8988
126	1305	8973
127	1315	8959
128	1324	8944
129	1333	8923
130	1343	8909
131	1351	8888
132	1360	8868
133	1371	8864
134	1381	8851
135	1390	8835
136	1401	8826
137	1411	8814
138	1419	8793
139	1428	8775
140	1437	8760
141	1448	8749
142	1456	8731
143	1466	8714
144	1476	8703
145	1485	8688
146	1495	8675
147	1504	8659
148	1513	8646
149	1522	8629
150	1532	8618
151	1542	8604
152	1551	8589
153	1560	8575
154	1569	8558
155	1580	8550
156	1589	8533
157	1598	8520
158	1608	8506
159	1619	8500
160	1628	8487
161	1637	8472
162	1646	8456
163	1656	8442
164	1665	8430
165	1675	8418
166	1684	8403
167	1693	8386
168	1702	8372
169	1711	8358
170	1721	8346
171	1730	8330
172	1738	8313
173	1749	8303
174	1758	8289
175	1767	8276
176	1778	8268
177	1787	8253
178	1797	8243
179	1807	8234
180	1816	8221
181	1825	8206
182	1834	8192
183	1844	8180
184	1854	8168
185	1865	8165
186	1875	8153
187	1884	8141
188	1893	8125
189	1901	8107
190	1911	8096
191	1920	8084
192	1930	8072
193	1939	8057
194	1948	8043
195	1956	8026
196	1965	8011
197	1975	8002
198	1984	7989
199	1994	7979
200	2004	7968
201	2013	7955
202	2023	7945
203	2033	7933
204	2042	7921
205	2052	7909
206	2062	7901
207	2072	7891
208	2080	7875
209	2089	7860
210	2098	7847
211	2108	7838
212	2120	7833
213	2130	7823
214	2139	7813
215	2148	7799
216	2157	7783
217	2168	7779
218	2178	7770
219	2188	7760
220	2197	7747
221	2206	7732
222	2215	7718
223	2225	7708
224	2234	7695
225	2243	7682
226	2252	7669
227	2261	7656
228	2270	7644
229	2280	7634
230	2288	7619
231	2297	7606
232	2306	7593
233	2316	7583
234	2325	7570
235	2335	7559
236	2344	7548
237	2354	7539
238	2364	7527
239	2373	7517
240	2383	7507
241	2394	7498
242	2405	7493
243	2417	7491
244	2427	7479
245	2436	7466
246	2446	7458
247	2456	7447
248	2465	7436
249	2474	7423
250	2484	7412
251	2493	7401
252	2502	7387
253	2511	7375
254	2520	7362
255	2529	7351
256	2539	7342
257	2549	7332
258	2558	7319
259	2567	7307
260	2577	7297
261	2586	7286
262	2596	7275
263	2608	7270
264	2618	7263
265	2628	7252
266	2637	7241
267	2647	7230
268	2655	7217
269	2664	7205
270	2673	7192
271	2684	7184
272	2696	7180
273	2707	7173
274	2717	7164
275	2727	7153
276	2738	7146
277	2747	7135
278	2758	7127
279	2769	7120
280	2778	7109
281	2789	7103
282	2801	7096
283	2815	7098
284	2828	7095
285	2841	7092
286	2852	7087
287	2864	7080
288	2875	7073
289	2893	7084
290	2908	7085
291	2920	7082
292	2934	7079
293	2955	7096
294	2979	7120
295	2997	7129
296	3014	7135
297	3031	7141
298	3047	7145
299	3065	7151
300	3091	7179
301	3112	7194
302	3132	7206
303	3150	7211
304	3165	7213
305	3184	7222
306	3204	7233
307	3219	7234
308	3232	7229
309	3251	7236
310	3266	7237
311	3278	7228
312	3290	7223
313	3306	7223
314	3321	7223
315	3334	7217
316	3349	7217
317	3363	7212
318	3377	7209
319	3389	7202
320	3404	7200
321	3419	7200
322	3434	7198
323	3454	7208
324	3474	7216
325	3487	7209
326	3505	7214
327	3523	7218
328	3538	7216
329	3553	7214
330	3568	7213
331	3584	7212
332	3600	7212
333	3617	7212
334	3630	7206
335	3644	7202
336	3656	7193
337	3665	7179
338	3677	7170
339	3688	7160
340	3700	7150
341	3712	7142
342	3723	7131
343	3734	7120
344	3744	7110
345	3759	7105
346	3775	7104
347	3791	7104
348	3805	7098
349	3818	7091
350	3830	7082
351	3841	7072
352	3853	7062
353	3864	7052
354	3877	7044
355	3888	7035
356	3900	7025
357	3911	7014
358	3920	7000
359	3933	6993
360	3945	6984
361	3957	6974
362	3968	6964
363	3983	6959
364	3992	6945
365	4001	6932
366	4010	6916
367	4021	6906
368	4032	6895
369	4041	6881
370	4054	6873
371	4065	6862
372	4074	6848
373	4085	6838
374	4098	6830
375	4110	6821
376	4123	6814
377	4136	6807
378	4150	6801
379	4164	6795
380	4175	6783
381	4187	6773
382	4198	6763
383	4211	6756
384	4224	6748
385	4239	6743
386	4254	6738
387	4268	6732
388	4291	6740
389	4310	6742
390	4327	6740
391	4344	6737
392	4361	6737
393	4380	6738
394	4398	6737
395	4411	6728
396	4431	6731
397	4445	6724
398	4459	6717
399	4469	6704
400	4484	6699
401	4498	6691
402	4511	6682
403	4523	6673
404	4535	6663
405	4553	6661
406	4571	6660
407	4586	6654
408	4601	6648
409	4616	6643
410	4647	6659
411	4670	6665
412	4692	6669
413	4712	6669
414	4732	6671
415	4749	6667
416	4782	6686
417	4814	6703
418	4844	6717
419	4878	6737
420	4897	6734
421	4910	6726
422	4924	6717
423	4938	6708
424	4950	6697
425	4963	6688
426	4975	6676
427	4989	6667
428	5001	6657
429	5015	6649
430	5031	6642
431	5045	6633
432	5058	6624
433	5081	6626
434	5104	6629
435	5127	6633
436	5145	6629
437	5165	6627
438	5181	6620
439	5193	6610
440	5205	6598
441	5216	6585
442	5228	6574
443	5240	6562
444	5253	6552
445	5264	6539
446	5273	6523
447	5285	6512
448	5295	6498
449	5305	6484
450	5316	6472
451	5327	6459
452	5336	6444
453	5346	6429
454	5358	6418
455	5368	6404
456	5379	6391
457	5391	6379
458	5404	6369
459	5415	6357
460	5426	6344
461	5437	6332
462	5448	6319
463	5458	6305
464	5469	6292
465	5479	6278
466	5490	6266
467	5500	6252
468	5510	6238
469	5521	6226
470	5531	6212
471	5543	6201
472	5554	6188
473	5564	6175
474	5573	6160
475	5585	6148
476	5593	6133
477	5603	6119
478	5614	6106
479	5627	6096
480	5637	6083
481	5648	6069
482	5662	6061
483	5674	6049
484	5687	6039
485	5698	6027
486	5710	6015
487	5721	6003
488	5731	5989
489	5744	5979
490	5755	5966
491	5767	5954
492	5779	5944
493	5790	5931
494	5800	5917
495	5810	5904
496	5824	5894
497	5838	5885
498	5855	5878
499	5870	5870
500	5882	5858
501	5899	5852
502	5912	5842
503	5925	5831
504	5939	5821
505	5958	5817
506	5971	5806
507	5989	5800
508	5999	5787
509	6011	5775
510	6021	5762
511	6032	5750
512	6042	5736
513	6054	5724
514	6064	5711
515	6074	5697
516	6083	5683
517	6094	5670
518	6103	5656
519	6113	5643
520	6125	5631
521	6135	5618
522	6146	5605
523	6156	5592
524	6166	5579
525	6177	5566
526	6191	5556
527	6202	5544
528	6213	5532
